Times (us),interval (us),strain (raw),sensorValue0 (raw)
6811368,12500,2295678,291
6823868,12500,2296973,292
6836368,12500,2298578,292
6848868,12500,2298725,292
6861368,12500,2297215,291
6873868,12500,2296233,292
6886368,12500,2297747,292
6898872,12504,2298510,292
6911372,12500,2297865,292
6923876,12504,2296582,292
6936376,12500,2295929,292
6948876,12500,2296859,292
6961376,12500,2298387,292
6973880,12504,2298570,292
6986380,12500,2295978,292
6998880,12500,2295802,292
7011380,12500,2296955,292
7023880,12500,2298283,292
7036384,12504,2298100,292
7048884,12500,2296684,292
7061384,12500,2295696,292
7073888,12504,2296406,292
7086388,12500,2298465,292
7098892,12504,2297284,292
7111392,12500,2295897,292
7123892,12500,2295989,292
7136392,12500,2297306,292
7148892,12500,2298328,292
7161392,12500,2297812,292
7173892,12500,2296488,292
7186392,12500,2295817,292
7198892,12500,2297921,292
7211392,12500,2298336,292
7223892,12500,2297465,292
7236392,12500,2296175,292
7248892,12500,2295819,292
7261396,12504,2296687,292
7273896,12500,2297968,292
7286396,12500,2298073,292
7298896,12500,2296275,292
7311396,12500,2296332,292
7323896,12500,2297283,292
7336396,12500,2298091,292
7348900,12504,2297581,292
7361400,12500,2296425,292
7373904,12504,2295975,292
7386408,12504,2296668,292
7398908,12500,2297778,292
7411408,12500,2296889,292
7423908,12500,2296047,292
7436412,12504,2296081,292
7448912,12500,2297219,292
7461412,12500,2297963,292
7473916,12504,2297489,292
7486416,12500,2296352,292
7498916,12500,2295891,292
7511416,12500,2297534,292
7523916,12500,2297652,292
7536416,12500,2296880,292
7548916,12500,2296185,292
7561420,12504,2296074,292
7573920,12500,2296980,292
7586420,12500,2298029,292
7598924,12504,2298119,292
7611424,12500,2296935,292
7623928,12504,2295890,292
7636432,12504,2297831,292
7648936,12504,2298842,292
7661436,12500,2297821,292
7673940,12504,2295777,292
7686440,12500,2295152,292
7698940,12500,2296834,292
7711440,12500,2298744,292
7723940,12500,2296546,292
7736440,12500,2295457,292
7748944,12504,2296641,292
7761444,12500,2298390,292
7773944,12500,2298761,292
7786444,12500,2297229,292
7798944,12500,2295578,292
7811444,12500,2295982,292
7823944,12500,2297701,292
7836444,12500,2297421,292
7848944,12500,2294898,292
7861444,12500,2293583,292
7873944,12500,2295271,292
7886444,12500,2298853,292
7898944,12500,2300531,292
7911444,12500,2297901,292
7923944,12500,2293655,292
7936444,12500,2297280,292
7948944,12500,2301166,292
7961444,12500,2299828,292
7973944,12500,2294903,292
7986444,12500,2292322,292
7998944,12500,2295037,292
8011444,12500,2299747,292
8023948,12504,2300987,292
8036448,12500,2293869,292
8048948,12500,2294307,292
8061448,12500,2297912,292
8073948,12500,2300098,292
8086448,12500,2298429,292
8098948,12500,2294927,292
8111448,12500,2293911,292
8123948,12500,2296593,292
8136448,12500,2299663,292
8148948,12500,2296288,292
8161448,12500,2294179,292
8173948,12500,2295284,292
8186448,12500,2298017,292
8198952,12504,2299208,292
8211452,12500,2297703,292
8223956,12504,2295143,292
8236456,12500,2294400,292
8248956,12500,2298871,292
8261456,12500,2298956,292
8273956,12500,2296569,291
8286456,12500,2294347,292
8298960,12504,2294933,292
8311464,12504,2297824,292
8323964,12500,2299408,291
8336464,12500,2297622,292
8348964,12500,2294691,292
8361464,12500,2296906,292
8373964,12500,2299318,291
8386464,12500,2298711,291
8398964,12500,2295973,292
8411464,12500,2294216,292
8423964,12500,2295467,291
8436464,12500,2298257,291
8448964,12500,2299193,292
8461464,12500,2294726,292
8473964,12500,2294409,291
8486468,12504,2296911,291
8498968,12500,2299391,292
8511468,12500,2299373,291
8523972,12504,2297086,291
8536472,12500,2294100,291
8548976,12504,2293129,292
8561480,12504,2296302,291
8573984,12504,2300142,291
8586484,12500,2295634,291
8598988,12504,2292890,292
8611488,12500,2295278,291
8623988,12500,2299457,291
8636488,12500,2300690,291
8648988,12500,2297417,291
8661488,12500,2293232,291
8673992,12504,2297616,291
8686492,12500,2300966,291
8698992,12500,2299477,291
8711492,12500,2295087,291
8723992,12500,2292828,291
8736492,12500,2295054,291
8748992,12500,2299125,291
8761496,12504,2300737,291
8773996,12500,2297890,291
8786500,12504,2293143,291
8799004,12504,2296954,291
8811504,12500,2300653,291
8824004,12500,2299742,291
8836504,12500,2295384,291
8849008,12504,2292776,291
8861508,12500,2295021,291
8874008,12500,2299590,291
8886512,12504,2297302,291
8899016,12504,2292995,291
8911516,12500,2293308,291
8924016,12500,2297598,291
8936516,12500,2300654,291
8949016,12500,2298974,291
8961516,12500,2294817,291
8974016,12500,2293343,290
8986516,12500,2296014,290
8999016,12500,2299555,291
9011516,12500,2296736,291
9024016,12500,2294030,290
9036516,12500,2294399,291
9049016,12500,2297484,291
9061516,12500,2299825,291
9074016,12500,2298596,290
9086516,12500,2295623,291
9099016,12500,2296110,291
9111520,12504,2298622,291
9124020,12500,2298977,290
9136524,12504,2296730,290
9149024,12500,2294113,291
9161524,12500,2294592,291
9174024,12500,2297624,290
9186524,12500,2299669,290
9199024,12500,2298517,291
9211524,12500,2294735,291
9224024,12500,2295954,290
9236528,12504,2298157,291
9249032,12504,2298836,291
9261532,12500,2297212,291
9274032,12500,2295379,291
9286532,12500,2295377,291
9299032,12500,2297231,291
9311536,12504,2298246,291
9324036,12500,2296034,290
9336536,12500,2294902,290
9349036,12500,2296136,291
9361536,12500,2298293,291
9374036,12500,2298821,290
9386536,12500,2296944,290
9399036,12500,2294841,291
9411536,12500,2295088,290
9424036,12500,2299020,290
9436536,12500,2298089,290
9449036,12500,2295726,290
9461536,12500,2294669,290
9474040,12504,2296380,290
9486540,12500,2299000,290
9499040,12500,2298853,290
9511544,12504,2295858,290
9524048,12504,2296486,290
9536552,12504,2299529,290
9549052,12500,2299433,290
9561552,12500,2296329,290
9574056,12504,2293792,290
9586556,12500,2295175,290
9599056,12500,2299312,290
9611556,12500,2300843,290
9624060,12504,2293459,290
9636564,12504,2294027,290
9649064,12500,2298134,290
9661564,12500,2300587,290
9674064,12500,2298604,290
9686564,12500,2295038,290
9699068,12504,2293915,290
9711572,12504,2295947,290
9724072,12500,2298478,290
9736572,12500,2297243,290
9749072,12500,2295555,290
9761572,12500,2295665,290
9774072,12500,2297370,290
9786576,12504,2298806,290
9799076,12500,2298117,290
9811576,12500,2295977,290
9824080,12504,2294898,290
9836580,12500,2298651,290
9849080,12500,2298683,290
9861580,12500,2296354,290
9874080,12500,2294568,290
9886580,12500,2295528,290
9899080,12500,2298104,290
9911580,12500,2299127,290
9924080,12500,2297865,290
9936580,12500,2295707,290
9949080,12500,2296274,290
9961580,12500,2298208,290
9974080,12500,2298467,290
9986580,12500,2296980,290
9999084,12504,2295254,290
10011588,12504,2295387,290
10024092,12504,2297536,290
10036596,12504,2299156,289
10049096,12500,2295777,290
10061596,12500,2294734,290
10074096,12500,2296183,290
10086600,12504,2298579,289
10099100,12500,2298750,290
10111600,12500,2296209,290
10124104,12504,2294303,290
10136604,12500,2295974,290
10149104,12500,2299767,290
10161604,12500,2296186,290
10174108,12504,2292450,290
10186608,12500,2294465,290
10199108,12500,2299681,290
10211612,12504,2301378,290
10224116,12504,2297498,290
10236616,12500,2292948,290
10249116,12500,2292908,290
10261616,12500,2302140,290
10274120,12504,2301193,290
10286620,12500,2295209,290
10299120,12500,2291174,290
10311620,12500,2293807,290
10324120,12500,2299749,290
10336620,12500,2302064,290
10349120,12500,2298144,290
10361624,12504,2292537,290
10374128,12504,2296586,290
10386628,12500,2301449,290
10399132,12504,2300425,290
10411632,12500,2294584,290
10424132,12500,2290826,290
10436636,12504,2293535,289
10449136,12500,2299382,290
10461636,12500,2301679,290
10474140,12504,2292804,290
10486640,12500,2291795,290
10499140,12500,2296186,290
10511640,12500,2301075,290
10524140,12500,2300358,290
10536644,12504,2295007,290
10549144,12500,2291523,290
10561648,12504,2293860,290
10574152,12504,2299198,290
10586652,12500,2297574,290
10599152,12500,2292655,290
10611652,12500,2292235,290
10624152,12500,2296515,290
10636652,12500,2300441,290
10649152,12500,2299447,290
10661652,12500,2294626,290
10674156,12504,2291954,290
10686656,12500,2298879,290
10699156,12500,2300133,290
10711660,12504,2297239,290
10724160,12500,2293720,290
10736664,12504,2293337,290
