Times (us),interval (us),strain (raw),sensorValue0 (raw)
9101608,12504,2334641,288
9114112,12504,2330241,288
9126612,12500,2325124,289
9139112,12500,2322601,289
9151612,12500,2324218,288
9164116,12504,2329165,288
9176616,12500,2334137,288
9189116,12500,2336297,289
9201620,12504,2328892,288
9214120,12500,2323989,288
9226620,12500,2322321,289
9239120,12500,2325074,289
9251620,12500,2330844,288
9264120,12500,2335697,288
9276620,12500,2336462,289
9289120,12500,2332527,289
9301620,12500,2322458,288
9314120,12500,2323024,288
9326620,12500,2327548,289
9339120,12500,2333319,289
9351620,12500,2336624,288
9364120,12500,2335225,288
9376624,12504,2329736,289
9389124,12500,2323509,289
9401624,12500,2320768,288
9414124,12500,2330055,288
9426624,12500,2336640,289
9439128,12504,2339057,289
9451628,12500,2335357,288
9464128,12500,2327755,288
9476628,12500,2321015,289
9489128,12500,2319543,289
9501632,12504,2324146,288
9514132,12500,2337819,288
9526632,12500,2338372,289
9539136,12504,2333348,289
9551636,12500,2325785,288
9564136,12500,2320498,288
9576636,12500,2321064,289
9589136,12500,2326700,289
9601640,12504,2333759,288
9614140,12500,2338064,288
9626644,12504,2330559,288
9639148,12504,2323467,288
9651648,12500,2320053,288
9664148,12500,2322539,288
9676648,12500,2329073,289
9689148,12500,2335549,289
9701652,12504,2338133,288
9714156,12504,2335025,288
9726656,12500,2322139,289
9739160,12504,2320531,289
9751660,12500,2324317,288
9764160,12500,2331106,288
9776660,12500,2336516,289
9789164,12504,2337192,289
9801664,12500,2333008,288
9814164,12500,2326534,288
9826664,12500,2322098,289
9839164,12500,2326899,289
9851664,12500,2333210,288
9864168,12504,2336803,288
9876668,12500,2335568,288
9889168,12500,2330227,289
9901672,12504,2324262,288
9914172,12500,2321510,288
9926672,12500,2323888,288
9939172,12500,2334736,289
9951672,12500,2336207,288
9964172,12500,2333151,288
9976672,12500,2327531,288
9989172,12500,2323069,289
10001676,12504,2322692,288
10014176,12500,2326339,288
10026676,12500,2331706,288
10039176,12500,2334773,289
10051676,12500,2330483,288
10064176,12500,2325267,288
10076676,12500,2322660,288
10089180,12504,2323995,288
10101680,12500,2328540,288
10114180,12500,2333438,288
10126680,12500,2335585,288
10139180,12500,2333556,288
10151680,12500,2323953,288
10164180,12500,2322568,288
10176680,12500,2325642,288
10189180,12500,2330836,288
10201684,12504,2334966,288
10214184,12500,2335203,288
10226684,12500,2331564,288
10239184,12500,2326581,288
10251684,12500,2322978,288
10264184,12500,2326829,288
10276684,12500,2332388,288
10289184,12500,2335788,288
10301684,12500,2335077,288
10314184,12500,2330589,288
10326684,12500,2324896,288
10339184,12500,2321742,288
10351684,12500,2323272,288
10364184,12500,2333907,288
10376684,12500,2336335,288
10389184,12500,2334107,288
10401684,12500,2328622,288
10414188,12504,2323492,288
10426688,12500,2322054,288
10439188,12500,2325476,288
10451692,12504,2331191,288
10464192,12500,2335482,288
10476692,12500,2331452,288
10489192,12500,2326004,288
10501696,12504,2322584,288
10514200,12504,2323178,288
10526704,12504,2327474,288
10539204,12500,2332955,288
10551704,12500,2335802,288
10564208,12504,2334380,288
10576708,12500,2324913,288
10589208,12500,2322730,288
10601708,12500,2324624,288
10614212,12504,2329309,288
10626712,12500,2333861,288
10639216,12504,2335343,288
10651716,12500,2332771,288
10664216,12500,2328089,288
10676720,12504,2323201,288
10689220,12500,2326067,288
10701720,12500,2331093,288
10714224,12504,2334837,288
10726728,12504,2335039,288
10739228,12500,2331633,288
10751728,12500,2326513,288
10764228,12500,2323171,288
10776728,12500,2323780,288
10789228,12500,2332348,289
10801728,12500,2335162,288
10814232,12504,2334419,288
10826732,12500,2330380,288
10839236,12504,2325370,289
10851736,12500,2322916,288
10864236,12500,2324313,288
10876736,12500,2328731,288
10889236,12500,2335333,288
10901736,12500,2333425,288
10914236,12500,2328959,288
10926736,12500,2324763,288
10939240,12504,2323262,288
10951740,12500,2325538,288
10964240,12500,2330153,288
10976744,12504,2334353,288
10989244,12500,2335325,289
11001744,12500,2326723,288
11014248,12504,2322883,288
11026748,12500,2323363,288
11039252,12504,2327484,289
11051752,12500,2332689,288
11064252,12500,2335771,288
11076752,12500,2334700,288
11089252,12500,2329964,288
11101752,12500,2322279,288
11114252,12500,2324289,288
11126752,12500,2329590,288
11139252,12500,2334522,288
11151752,12500,2336121,288
11164252,12500,2333387,288
11176752,12500,2328029,288
11189252,12500,2323238,288
11201752,12500,2322068,288
11214252,12500,2331373,288
11226756,12504,2335616,288
11239256,12500,2335604,288
11251756,12500,2331777,288
11264256,12500,2326612,288
11276756,12500,2323253,288
11289256,12500,2323642,289
11301756,12500,2327404,288
11314256,12500,2335090,288
11326756,12500,2334319,288
11339260,12504,2330110,288
11351760,12500,2325365,288
11364260,12500,2322820,288
11376760,12500,2324463,288
11389264,12504,2329231,288
11401768,12504,2333882,288
11414268,12500,2335281,288
11426772,12504,2328062,288
11439272,12500,2323933,288
11451776,12504,2323233,288
11464276,12500,2326372,288
11476776,12500,2331348,288
11489276,12500,2334624,288
11501776,12500,2334464,288
11514276,12500,2330956,288
11526776,12500,2323503,288
11539276,12500,2324480,288
11551776,12500,2328353,288
11564276,12500,2332714,288
11576780,12504,2334964,288
11589280,12500,2333490,288
11601784,12504,2329291,288
11614284,12500,2324946,288
11626784,12500,2325781,288
11639284,12500,2330124,288
11651784,12500,2333945,288
11664288,12504,2334527,288
11676788,12500,2331786,288
11689288,12500,2327384,288
11701792,12504,2324095,288
11714292,12500,2324087,288
11726792,12500,2327093,288
11739292,12500,2334197,288
11751792,12500,2334067,288
11764292,12500,2331030,288
11776792,12500,2326940,288
11789292,12500,2324245,288
11801792,12500,2324616,288
11814292,12500,2327997,288
11826792,12500,2332006,288
11839292,12500,2333452,288
11851792,12500,2330106,288
11864292,12500,2326187,288
11876792,12500,2324214,288
11889296,12504,2325151,288
11901796,12500,2328470,288
11914300,12504,2332215,288
11926804,12504,2334077,288
11939304,12500,2332848,288
11951804,12500,2325606,288
11964304,12500,2324553,288
11976804,12500,2326477,288
11989308,12504,2330090,288
12001808,12500,2332969,288
12014312,12504,2333144,288
12026812,12500,2330648,288
12039316,12504,2327329,288
12051820,12504,2325853,288
12064320,12500,2328357,288
12076820,12500,2331513,288
12089320,12500,2333226,288
12101824,12504,2332237,288
12114324,12500,2328846,288
12126824,12500,2325449,288
12139328,12504,2324437,288
12151832,12504,2326662,288
12164332,12500,2333277,288
12176836,12504,2333511,288
12189336,12500,2331036,288
12201840,12504,2327284,288
12214340,12500,2324761,288
12226840,12500,2325150,288
12239340,12500,2327699,288
12251840,12500,2330924,289
12264344,12504,2332724,288
12276848,12504,2330493,288
12289348,12500,2327602,288
12301852,12504,2325797,289
12314352,12500,2326189,288
12326856,12504,2328483,288
12339356,12500,2330790,289
12351856,12500,2331740,289
12364356,12500,2331033,288
12376856,12500,2327501,288
12389356,12500,2326737,288
12401860,12504,2327544,289
12414360,12500,2329692,288
12426864,12504,2331665,288
12439368,12504,2331900,288
12451868,12500,2329985,289
12464368,12500,2327387,288
12476868,12500,2327162,288
12489368,12500,2328914,288
12501872,12504,2329969,289
12514372,12500,2329920,288
12526872,12500,2329517,288
12539376,12504,2329671,288
12551876,12500,2330118,289
12564376,12500,2329880,288
12576880,12504,2328722,288
12589384,12504,2326598,288
12601884,12500,2327346,288
12614388,12504,2329057,288
12626892,12504,2330831,288
12639392,12500,2331901,288
12651892,12500,2331465,288
12664392,12500,2330063,288
12676892,12500,2328488,288
12689392,12500,2326450,288
12701892,12500,2327511,288
12714392,12500,2329640,288
12726892,12500,2331550,288
12739392,12500,2331698,288
12751892,12500,2330132,288
12764392,12500,2327979,288
12776892,12500,2327009,288
12789396,12504,2327835,288
12801896,12500,2330867,288
12814396,12500,2330743,288
12826896,12500,2329871,288
12839400,12504,2328651,288
12851900,12500,2327657,288
12864400,12500,2327269,288
12876904,12504,2328092,288
12889408,12504,2329765,288
12901908,12500,2331610,288
12914412,12504,2330565,288
12926912,12500,2328569,288
12939412,12500,2326926,288
12951912,12500,2328383,288
12964412,12500,2332253,288
12976912,12500,2332867,288
12989412,12500,2326113,288
13001912,12500,2305332,288
13014412,12500,2251097,288
13026912,12500,2274251,288
13039412,12500,2300939,288
13051916,12504,2287674,288
13064416,12500,2257239,288
13076916,12500,2259321,288
13089416,12500,2289339,288
13101916,12500,2297871,288
13114416,12500,2254375,288
13126916,12500,2273966,288
13139416,12500,2297354,288
13151916,12500,2286571,288
13164416,12500,2259974,288
13176916,12500,2261013,288
13189416,12500,2287003,288
13201916,12500,2295362,288
13214416,12500,2273407,288
13226916,12500,2273170,288
13239416,12500,2293610,288
13251916,12500,2285827,288
13264420,12504,2263550,288
13276924,12504,2263153,288
13289424,12500,2284352,288
13301924,12500,2292205,288
13314428,12504,2274655,288
13326928,12500,2273266,288
13339432,12504,2290191,288
13351932,12500,2284296,288
13364432,12500,2266405,288
13376936,12504,2265892,288
13389436,12500,2282641,288
13401936,12500,2288868,288
13414436,12500,2274866,288
13426936,12500,2273955,288
13439440,12504,2288030,288
13451944,12504,2282896,288
13464448,12504,2267695,288
13476948,12500,2267167,288
13489452,12504,2281776,288
