Times (us),interval (us),strain (raw),sensorValue0 (raw)
8689008,12500,2435233,291
8701512,12504,2441543,291
8714012,12500,2449404,291
8726512,12500,2458983,290
8739016,12504,2470472,291
8751516,12500,2485058,291
8764016,12500,2539420,291
8776516,12500,2578792,290
8789016,12500,2619299,291
8801516,12500,2658572,291
8814020,12504,2698162,291
8826520,12500,2739545,290
8839020,12500,2783975,291
8851524,12504,2831284,291
8864024,12500,2931897,291
8876524,12500,2985665,290
8889024,12500,3039485,291
8901524,12500,3091641,291
8914028,12504,3142319,291
8926528,12500,3190080,290
8939028,12500,3235833,290
8951528,12500,3282734,291
8964032,12504,3332448,291
8976536,12504,3443831,290
8989036,12500,3506878,290
9001536,12500,3573607,291
9014036,12500,3641864,291
9026536,12500,3707231,290
9039040,12504,3765650,290
9051540,12500,3815020,291
9064044,12504,3855659,291
9076544,12500,3919571,290
9089044,12500,3946260,290
9101544,12500,3969833,291
9114044,12500,3991630,290
9126544,12500,4013239,290
9139048,12504,4036486,290
9151552,12504,4062885,291
9164052,12500,4092621,290
9176552,12500,4124952,290
9189052,12500,4188391,290
9201552,12500,4216549,290
9214052,12500,4241797,290
9226552,12500,4265705,290
9239052,12500,4289312,290
9251552,12500,4314465,290
9264052,12500,4341192,290
9276552,12500,4368024,290
9289052,12500,4416370,290
9301552,12500,4435464,290
9314052,12500,4451417,290
9326552,12500,4465642,290
9339052,12500,4479403,290
9351552,12500,4493113,290
9364052,12500,4508187,290
9376552,12500,4525141,290
9389052,12500,4543171,290
9401552,12500,4581640,290
9414056,12504,4602837,290
9426560,12504,4624589,289
9439060,12500,4646203,290
9451560,12500,4666683,290
9464060,12500,4685269,290
9476564,12504,4701176,290
9489064,12500,4714867,290
9501564,12500,4737845,290
9514064,12500,4744842,290
9526564,12500,4746846,290
9539068,12504,4741876,290
9551572,12504,4728928,290
9564076,12504,4707070,290
9576576,12500,4675099,290
9589076,12500,4632269,290
9601580,12504,4509088,290
9614084,12504,4427296,290
9626584,12500,4332228,290
9639084,12500,4224197,290
9651588,12504,4103566,290
9664088,12500,3971282,290
9676588,12500,3829818,290
9689096,12508,3682575,290
9701596,12500,3533581,290
9714096,12500,3245911,290
9726600,12504,3112456,290
9739100,12500,2989545,290
9751600,12500,2879034,290
9764104,12504,2781219,290
9776604,12500,2695496,290
9789104,12500,2618923,290
9801604,12500,2545652,290
9814104,12500,2401377,290
9826604,12500,2347430,290
9839108,12504,2309066,290
9851612,12504,2283490,290
9864116,12504,2269399,290
9876616,12500,2266912,290
9889116,12500,2274404,290
9901620,12504,2284215,290
9914120,12500,2298444,290
9926620,12500,2325450,290
9939120,12500,2332409,290
9951620,12500,2339875,290
9964120,12500,2347998,290
9976620,12500,2356724,290
9989128,12508,2365174,290
10001628,12500,2371957,290
10014128,12500,2376534,290
10026632,12504,2385107,290
10039132,12500,2390411,290
10051632,12500,2395584,290
10064132,12500,2400278,290
10076632,12500,2404941,290
10089132,12500,2408841,290
10101632,12500,2411453,290
10114132,12500,2413077,290
10126632,12500,2414112,290
10139132,12500,2415725,290
