Times (us),interval (us),strain (raw),sensorValue0 (raw)
7366492,12500,2392301,290
7378992,12500,2389863,290
7391492,12500,2387203,290
7403992,12500,2385489,291
7416492,12500,2385366,290
7428992,12500,2386940,290
7441492,12500,2389715,290
7453992,12500,2392658,291
7466492,12500,2395019,290
7478992,12500,2393896,290
7491496,12504,2391691,290
7503996,12500,2388839,291
7516496,12500,2386208,290
7528996,12500,2384945,290
7541496,12500,2385636,290
7553996,12500,2387633,291
7566496,12500,2390346,290
7579000,12504,2394507,290
7591500,12500,2394861,290
7604000,12500,2393544,291
7616500,12500,2391132,290
7629000,12500,2388615,290
7641500,12500,2386626,290
7654004,12504,2385614,291
7666504,12500,2385863,290
7679004,12500,2390397,290
7691504,12500,2392798,290
7704004,12500,2394187,290
7716504,12500,2394400,290
7729008,12504,2393421,290
7741508,12500,2391191,290
7754012,12504,2388539,290
7766512,12500,2386566,290
7779012,12500,2385783,289
7791512,12500,2387908,290
7804012,12500,2390097,290
7816512,12500,2392237,290
7829012,12500,2393964,289
7841512,12500,2394219,290
7854012,12500,2393225,290
7866512,12500,2391399,290
7879012,12500,2389312,289
7891512,12500,2386152,290
7904012,12500,2386311,290
7916516,12504,2387641,290
7929020,12504,2389807,289
7941520,12500,2391954,290
7954020,12500,2393470,290
7966524,12504,2394262,290
7979024,12500,2393627,289
7991524,12500,2391866,290
8004024,12500,2387827,290
8016524,12500,2386644,290
8029028,12504,2386509,289
8041532,12504,2387380,290
8054032,12500,2389071,290
8066532,12500,2391281,290
8079032,12500,2393342,289
8091532,12500,2394312,290
8104032,12500,2392494,290
8116532,12500,2390063,290
8129032,12500,2387657,289
8141532,12500,2385956,289
8154036,12504,2385768,290
8166536,12500,2387005,290
8179036,12500,2389210,289
8191536,12500,2391671,289
8204036,12500,2393729,290
8216540,12504,2393867,290
8229040,12500,2391870,289
8241544,12504,2389400,289
8254044,12500,2387298,290
8266548,12504,2386029,290
8279052,12504,2386110,289
8291556,12504,2387352,289
8304056,12500,2389561,290
8316556,12500,2393846,290
8329056,12500,2394417,289
8341560,12504,2393777,289
8354060,12500,2391922,290
8366560,12500,2389538,289
8379060,12500,2387281,289
8391560,12500,2385806,289
8404060,12500,2385725,290
8416564,12504,2389568,290
8429064,12500,2392218,289
8441564,12500,2394049,289
8454064,12500,2394717,290
8466568,12504,2393835,290
8479068,12500,2391830,289
8491572,12504,2389351,289
8504072,12500,2387067,290
8516576,12504,2386002,290
8529076,12500,2388062,289
8541580,12504,2390318,289
8554080,12500,2392394,290
8566580,12500,2393565,290
8579080,12500,2393605,289
8591580,12500,2392746,289
8604080,12500,2391142,290
8616584,12504,2389234,290
8629084,12500,2387117,289
8641588,12504,2387197,289
8654088,12500,2388172,290
8666588,12500,2389804,290
8679088,12500,2391500,289
8691588,12500,2392666,289
8704088,12500,2393220,290
8716588,12500,2392835,290
8729092,12504,2391593,289
8741592,12500,2388611,289
8754092,12500,2387683,290
8766592,12500,2387395,290
8779092,12500,2387981,289
8791592,12500,2389301,289
8804092,12500,2390808,290
8816596,12504,2392207,290
8829096,12500,2393009,289
8841596,12500,2392139,289
8854096,12500,2390678,290
8866596,12500,2389046,290
8879096,12500,2387783,289
8891596,12500,2387155,289
8904100,12504,2387415,290
8916600,12500,2388533,290
8929104,12504,2390340,289
8941604,12500,2392187,289
8954104,12500,2393645,290
8966604,12500,2392700,290
8979108,12504,2391154,289
8991612,12504,2389303,289
9004116,12504,2387599,290
9016616,12500,2386654,290
9029120,12504,2386866,289
9041620,12500,2388123,289
9054124,12504,2392217,289
9066624,12500,2393512,290
9079124,12500,2393779,289
9091628,12504,2392916,289
9104128,12500,2391165,289
9116628,12500,2389136,290
9129128,12500,2387519,289
9141632,12504,2386540,289
9154136,12504,2386906,289
9166636,12500,2390267,290
9179144,12508,2392122,289
9191644,12500,2393368,289
9204144,12500,2393673,289
9216644,12500,2393118,290
9229148,12504,2391450,289
9241648,12500,2389188,289
9254148,12500,2387409,289
9266648,12500,2386437,290
9279152,12504,2388028,289
9291652,12500,2390279,289
9304152,12500,2392518,289
9316652,12500,2394005,290
9329152,12500,2394301,289
9341652,12500,2393150,289
9354152,12500,2390847,289
9366652,12500,2388310,289
9379156,12504,2385784,289
9391656,12500,2386512,289
9404156,12500,2388473,289
9416656,12500,2390978,290
9429156,12500,2393232,289
9441660,12504,2394384,289
9454164,12504,2394103,289
9466664,12500,2392746,290
9479172,12508,2388219,289
9491672,12500,2386599,289
9504172,12500,2386174,289
9516672,12500,2387100,289
9529172,12500,2388942,289
9541676,12504,2391062,289
9554180,12504,2392936,289
9566680,12500,2393969,290
9579180,12500,2392510,289
9591680,12500,2390453,289
