Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
3216,577,505,426
3220,633,590,530
3224,654,630,592
3228,580,591,587
3232,410,464,501
3236,221,294,361
3240,70,142,215
3244,30,69,122
3248,12,34,68
3252,7,19,39
3256,38,35,38
3260,153,115,88
3264,332,265,204
3268,496,421,345
3272,600,541,471
3276,635,603,554
3280,612,607,585
3284,484,519,537
3288,359,405,446
3292,186,251,314
3296,59,124,188
3300,20,57,106
3304,9,27,57
3308,25,28,41
3312,94,74,63
3316,248,194,149
3320,401,333,269
3324,544,476,403
3328,602,560,503
3332,610,593,558
3336,560,565,558
3340,419,461,489
3344,274,329,380
3348,113,181,247
3352,39,87,144
3356,15,40,79
3360,11,24,46
3364,66,56,54
3368,177,138,109
3372,294,243,196
3376,425,365,306
3380,549,490,425
3384,575,546,501
3388,567,557,533
3392,460,486,497
3396,339,383,419
3400,183,243,300
3404,79,132,188
3408,27,64,109
3412,14,34,64
3416,46,43,52
3420,94,79,70
3424,240,188,147
3428,350,298,245
3432,485,425,361
3436,535,497,447
3440,557,535,501
3444,486,498,495
3448,387,420,442
3452,252,301,345
3456,157,200,247
3460,73,114,159
3464,26,57,95
3468,41,50,68
3472,81,71,71
3476,182,148,121
3480,295,248,204
3484,419,364,307
3488,494,450,398
3492,529,501,463
3496,499,497,481
3500,437,453,459
3504,342,372,398
3508,212,259,304
3512,122,165,210
3516,53,91,133
3520,52,66,91
3524,69,68,77
3528,151,125,109
3532,244,205,171
3536,367,314,264
3540,441,398,349
3544,487,458,418
3548,504,487,460
3552,455,462,457
3556,378,400,416
3560,265,305,339
3564,169,210,252
3568,92,130,171
3572,66,87,117
3576,71,78,92
3580,130,114,107
3584,181,159,139
3588,290,247,209
3592,377,334,289
3596,451,413,368
3600,479,456,423
3604,462,457,441
3608,399,414,419
3612,312,341,365
3616,211,250,286
3620,134,169,207
3624,91,116,147
3628,75,89,110
3632,105,101,104
3636,155,137,125
3640,248,211,180
3644,333,293,253
3648,412,373,330
3652,453,425,389
3656,458,445,422
3660,415,421,418
3664,345,367,381
3668,253,286,315
3672,189,217,248
3676,130,156,186
3680,94,115,139
3684,103,107,118
3688,139,128,124
3692,215,186,164
3696,291,258,224
3700,379,339,298
3704,422,393,357
3708,451,430,402
3712,432,429,416
3716,390,400,402
3720,310,335,354
3724,231,261,290
3728,158,189,221
3732,117,140,167
3736,107,117,134
3740,132,126,128
3744,185,166,152
3748,262,231,203
3752,338,302,266
3756,384,356,322
3760,426,402,372
3764,430,419,400
3768,401,404,399
3772,340,356,367
3776,263,289,313
3780,190,220,249
3784,141,165,192
3788,118,132,152
3792,129,130,137
3796,168,156,149
3800,214,195,178
3804,288,256,227
3808,355,322,287
3812,402,375,343
3816,421,404,380
3820,404,401,390
3824,360,370,373
3828,293,315,332
3832,222,249,275
3836,165,189,216
3840,138,153,173
3844,129,136,148
3848,148,144,145
3852,195,178,165
3856,258,230,206
3860,326,294,262
3864,377,349,317
3868,407,386,359
3872,404,395,379
3876,374,378,375
3880,316,334,345
3884,267,285,302
3888,204,227,250
3892,160,179,202
3896,140,153,169
3900,146,148,154
3904,181,169,162
3908,236,213,194
3912,299,271,243
3916,353,325,295
3920,389,366,339
3924,398,385,366
3928,385,383,374
3932,349,357,360
3936,291,309,323
3940,230,252,273
3944,182,202,225
3948,154,168,186
3952,150,155,164
3956,172,165,163
3960,218,200,186
3964,274,249,226
3968,316,293,268
3972,362,337,311
3976,386,368,346
3980,385,377,364
3984,358,361,359
3988,312,324,332
3992,254,273,290
3996,203,224,244
4000,170,185,204
4004,157,164,176
4008,169,166,168
4012,193,183,177
4016,241,221,204
4020,293,269,244
4024,342,315,289
4028,372,352,328
4032,380,369,352
4036,363,361,355
4040,328,335,339
4044,275,292,305
4048,224,244,262
4052,186,202,221
4056,170,178,191
4060,167,169,175
4064,187,181,178
4068,225,210,197
4072,274,251,230
4076,321,297,273
4080,356,336,312
4084,371,358,339
4088,363,358,349
4092,336,340,340
4096,306,314,321
4100,256,272,285
4104,213,229,246
4108,183,196,211
4112,173,179,189
4116,183,181,182
4120,214,201,193
4124,257,237,220
4128,303,281,258
4132,339,319,296
4136,361,345,325
4140,364,355,342
4144,349,348,343
4148,318,325,329
4152,274,287,298
4156,231,246,261
4160,199,212,227
4164,181,190,201
4168,183,183,188
4172,206,197,192
4176,242,226,213
4180,285,265,246
4184,315,297,277
4188,344,326,307
4192,357,345,329
4196,350,346,338
4200,326,329,329
4204,290,299,306
4208,248,262,274
4212,214,228,242
4216,191,201,213
4220,187,189,195
4224,196,192,191
4228,222,212,203
4232,259,243,228
4236,299,279,259
4240,331,311,291
4244,348,335,317
4248,348,342,331
4252,331,331,328
4256,300,307,311
4260,265,276,286
4264,230,243,256
4268,209,217,228
4272,193,198,206
4276,196,196,198
4280,217,209,204
4284,247,234,222
4288,285,266,249
4292,317,299,280
4296,339,325,307
4300,345,336,323
4304,333,331,325
4308,308,313,314
4312,284,292,297
4316,250,261,271
4320,220,230,242
4324,201,208,218
4328,198,200,204
4332,211,206,204
4336,238,226,216
4340,271,254,239
4344,304,287,269
4348,328,313,296
4352,338,328,314
4356,337,331,322
4360,321,322,319
4364,294,301,304
4368,262,272,280
4372,232,241,252
4376,210,219,228
4380,202,206,212
4384,210,207,207
4388,231,221,214
4392,260,246,233
4396,284,270,256
4400,312,297,281
4404,329,316,301
4408,334,326,315
4412,324,322,317
4416,302,306,307
4420,273,280,287
4424,243,252,262
4428,221,228,238
4432,208,213,219
4436,210,209,210
4440,220,215,211
4444,244,233,224
4448,273,259,245
4452,300,285,269
4456,320,307,291
4460,329,320,308
4464,324,321,314
4468,308,309,307
4472,283,288,291
4476,254,263,270
4480,235,242,250
4484,217,223,230
4488,211,213,216
4492,219,215,214
4496,237,229,222
4500,263,250,239
4504,290,275,260
4508,312,298,283
4512,324,314,301
4516,323,318,310
4520,311,310,307
4524,295,297,298
4528,270,277,282
4532,244,253,260
4536,225,231,239
4540,216,219,223
4544,219,217,217
4548,233,226,222
4552,255,243,234
4556,280,266,253
4560,302,289,275
4564,318,307,293
4568,321,314,304
4572,317,313,307
4576,301,303,302
4580,278,284,288
4584,254,261,268
4588,234,239,246
4592,221,225,231
4596,220,221,222
4600,229,225,222
4604,248,238,230
4608,266,255,244
4612,289,276,263
4616,307,295,282
4620,317,307,295
4624,316,310,303
4628,304,304,301
4632,286,289,291
4636,263,269,273
4640,242,248,254
4644,228,232,238
4648,223,224,227
