Times (us),interval (us),strain (raw),sensorValue0 (raw)
12659304,12500,2261987,289
12671808,12504,2262569,289
12684308,12500,2263291,288
12696808,12500,2262978,288
12709308,12500,2262112,289
12721808,12500,2262724,289
12734308,12500,2263334,288
12746808,12500,2262843,288
12759308,12500,2261899,289
12771812,12504,2262051,289
12784312,12500,2263270,288
12796812,12500,2263513,288
12809312,12500,2262402,288
12821812,12500,2262531,289
12834316,12504,2263394,288
12846816,12500,2262789,288
12859316,12500,2261792,288
12871816,12500,2262072,289
12884320,12504,2263267,288
12896820,12500,2263473,288
12909324,12504,2262474,288
12921824,12500,2261961,289
12934328,12504,2263471,288
12946828,12500,2262837,288
12959328,12500,2261999,288
12971828,12500,2262299,289
12984332,12504,2263201,288
12996832,12500,2263359,288
13009332,12500,2262535,288
13021836,12504,2262034,289
13034340,12504,2263412,288
13046840,12500,2262879,288
13059340,12500,2261954,288
13071840,12500,2262236,289
13084340,12500,2263050,288
13096840,12500,2263118,288
13109340,12500,2262559,288
13121844,12504,2262148,288
13134344,12500,2262540,288
13146844,12500,2262445,288
13159344,12500,2262016,288
13171844,12500,2262513,288
13184348,12504,2262978,288
13196852,12504,2262577,288
13209356,12504,2262063,288
13221856,12500,2262162,288
13234356,12500,2262729,288
13246856,12500,2262484,288
13259360,12504,2262098,288
13271864,12504,2262155,289
13284364,12500,2262657,288
13296868,12504,2262760,288
13309368,12500,2262333,288
13321868,12500,2261985,289
13334368,12500,2262348,288
13346868,12500,2262729,288
13359372,12504,2262222,288
13371872,12500,2262188,288
13384372,12500,2262539,288
13396872,12500,2262713,288
13409376,12504,2262522,288
13421880,12504,2262042,289
13434380,12500,2262212,288
13446884,12504,2262617,288
13459384,12500,2262571,288
13471888,12504,2262310,289
13484388,12500,2262226,288
13496892,12504,2262470,288
13509392,12500,2262548,288
