Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
2792,228,239,251
2796,205,214,224
2800,198,201,207
2804,207,204,204
2808,232,221,213
2812,262,247,233
2816,286,272,257
2820,317,301,284
2824,333,321,306
2828,338,330,319
2832,325,323,319
2836,302,306,308
2840,271,280,287
2844,241,251,261
2848,216,224,234
2852,205,209,216
2856,207,206,208
2860,219,213,209
2864,245,233,223
2868,275,260,245
2872,305,288,272
2876,324,310,295
2880,332,323,310
2884,325,321,315
2888,308,310,309
2892,280,287,292
2896,251,260,268
2900,226,234,244
2904,214,219,225
2908,209,211,214
2912,217,213,211
2916,239,229,221
2920,266,252,240
2924,294,279,264
2928,314,300,285
2932,327,316,303
2936,323,319,311
2940,311,312,309
2944,294,297,298
2948,267,274,280
2952,242,250,258
2956,223,230,237
2960,214,217,222
2964,218,215,216
2968,235,228,222
2972,257,246,236
2976,283,269,256
2980,304,291,276
2984,319,308,295
2988,321,314,305
2992,316,313,308
2996,298,300,300
3000,277,282,285
3004,252,260,267
3008,233,239,246
3012,221,224,229
3016,221,220,222
3020,231,226,223
3024,250,241,233
3028,274,261,249
3032,288,277,265
3036,307,296,283
3040,315,307,297
3044,316,310,303
3048,303,302,300
3052,286,289,290
3056,262,269,274
3060,243,248,254
3064,228,232,237
3068,224,225,227
3072,226,224,223
3076,240,233,227
3080,258,247,238
3084,280,268,256
3088,298,287,274
3092,310,300,289
3096,313,306,297
3100,307,304,299
3104,291,294,293
3108,272,276,279
3112,251,256,261
3116,238,242,246
3120,229,231,235
3124,227,227,227
3128,236,231,227
3132,251,243,235
3136,271,261,250
3140,290,279,267
3144,304,293,282
3148,310,303,293
3152,308,304,298
3156,296,296,294
3160,283,284,285
3164,265,268,271
3168,247,251,256
3172,235,238,242
3176,229,230,232
3180,234,230,228
3184,246,240,234
3188,265,255,246
3192,282,271,260
3196,297,287,275
3200,305,297,287
3204,307,302,295
3208,301,299,295
3212,289,289,288
3216,271,274,277
3220,254,259,263
3224,240,244,248
3228,233,234,236
3232,234,232,231
3236,243,238,234
3240,258,249,242
3244,271,262,252
3248,287,277,266
3252,299,290,280
3256,305,298,289
3260,302,298,293
3264,292,291,289
3268,277,280,280
3272,261,265,268
3276,246,250,253
3280,237,239,241
3284,235,235,235
3288,239,236,234
3292,250,243,238
3296,264,256,247
3300,281,271,261
3304,294,285,275
3308,301,294,285
3312,302,296,290
3316,295,293,289
3320,282,284,283
3324,267,270,272
3328,256,257,260
3332,244,245,248
3336,238,239,240
3340,239,237,236
3344,247,242,238
3348,260,252,245
3352,275,266,257
3356,288,279,270
3360,297,289,280
3364,300,294,286
3368,295,293,288
3372,289,287,285
3376,275,276,277
3380,261,263,265
3384,249,252,254
3388,242,244,245
3392,241,240,239
3396,246,242,239
3400,256,250,244
3404,269,262,254
3408,282,273,264
3412,292,283,274
3416,296,290,282
3420,295,292,286
3424,290,288,285
3428,280,279,278
3432,266,268,269
3436,255,257,259
3440,247,248,249
3444,243,242,242
3448,246,242,240
3452,254,249,244
3456,262,256,250
3460,274,266,258
3464,285,277,268
3468,292,285,277
3472,294,290,283
3476,291,288,283
3480,283,281,279
3484,271,272,272
3488,260,262,263
3492,251,252,253
3496,246,246,246
3500,246,244,243
3504,250,247,243
3508,259,253,247
3512,269,262,254
3516,280,272,264
3520,288,281,273
3524,292,286,279
3528,291,286,281
3532,285,283,280
3536,275,276,275
3540,264,265,266
3544,257,257,257
3548,250,250,250
3552,247,246,246
3556,250,247,244
3560,257,251,246
3564,266,259,252
3568,276,269,261
3572,284,278,270
3576,289,283,276
3580,289,285,279
3584,287,284,280
3588,280,279,277
3592,271,271,270
3596,261,262,262
3600,253,254,255
3604,249,249,249
3608,250,248,246
3612,255,250,246
3616,263,257,251
3620,272,265,258
3624,280,273,266
3628,285,279,272
3632,289,283,277
3636,288,284,279
3640,282,280,277
3644,274,273,272
3648,265,265,265
3652,257,258,258
3656,252,252,252
3660,251,249,247
3664,254,250,247
3668,261,256,251
3672,267,261,256
3676,275,268,261
3680,283,276,269
3684,286,281,275
3688,286,283,278
3692,283,280,277
3696,276,275,273
3700,268,268,268
3704,260,261,261
3708,254,254,254
3712,252,251,249
3716,253,250,248
3720,257,253,249
3724,264,258,253
3728,272,265,259
3732,279,273,266
3736,284,279,272
3740,285,281,275
3744,284,280,276
3748,278,276,274
3752,271,271,270
3756,265,265,264
3760,258,258,257
3764,254,253,252
3768,253,252,250
3772,256,253,250
3776,262,256,251
3780,269,263,257
3784,276,270,264
3788,281,276,269
3792,284,279,273
3796,284,280,275
3800,281,279,275
3804,275,274,272
3808,268,268,267
