Times (us),interval (us),strain (raw),sensorValue0 (raw)
9015752,12500,-6032564,282
9028252,12500,-6033438,282
9040756,12504,-6037569,282
9053256,12500,-6038454,282
9065756,12500,-6034002,282
9078256,12500,-6027356,282
9090756,12500,-6015174,282
9103260,12504,-6013354,282
9115760,12500,-6019674,282
9128260,12500,-6025594,282
9140760,12500,-6031607,282
9153264,12504,-6031288,282
9165768,12504,-6037092,282
9178268,12500,-6044366,282
9190768,12500,-6038019,282
9203268,12500,-6027433,282
9215772,12504,-6031023,282
9228272,12500,-6027530,282
9240772,12500,-6028974,282
9253276,12504,-6028920,282
9265776,12500,-6029558,282
9278276,12500,-6031938,282
9290776,12500,-6031834,282
9303280,12504,-6036886,282
9315780,12500,-6036965,282
9328280,12500,-6033827,282
9340780,12500,-6033011,282
9353284,12504,-6038560,282
9365784,12500,-6042744,282
9378288,12504,-6038665,282
9390788,12500,-6036069,282
9403288,12500,-6031663,281
9415788,12500,-6029416,281
9428288,12500,-6031259,282
9440792,12504,-6032774,282
9453296,12504,-6030720,281
9465796,12500,-6033736,281
9478300,12504,-6037283,282
9490804,12504,-6041400,282
9503304,12500,-6037165,281
9515804,12500,-6034281,281
9528308,12504,-6029800,282
9540812,12504,-6033730,282
9553312,12500,-713026,281
9576168,22856,-6033705,282
9588668,12500,-6030016,281
9601172,12504,-6028130,281
9613676,12504,-6029186,281
9626180,12504,-6022829,282
9638680,12500,-6026510,281
9651180,12500,-6033846,281
9663680,12500,-6035122,281
9676180,12500,-6041132,282
9688680,12500,-6040290,281
9701180,12500,-6031148,281
9713680,12500,-6032912,281
9726180,12500,-6038044,282
9738680,12500,-6032088,281
9751180,12500,-6033337,281
9763680,12500,-6040544,281
9776180,12500,-6047492,282
9788684,12504,-6041152,281
9801184,12500,-6034996,281
9813684,12500,-6037955,281
9826184,12500,-6039905,282
9838688,12504,-6040871,281
9851188,12500,-6040723,281
9863688,12500,-6041692,281
9876188,12500,-6045625,282
9888692,12504,-6042063,281
9901196,12504,-6040948,281
9913696,12500,-6039064,281
9926196,12500,-6035258,281
9938696,12500,-6033129,281
9951200,12504,-6031140,281
9963704,12504,-6029419,281
9976208,12504,-6031924,281
9988708,12500,-6042725,281
10001208,12500,-6044622,281
10013712,12504,-6033277,281
10026212,12500,-6026087,281
10038716,12504,-6029003,281
10051216,12500,-6025135,281
10063716,12500,-6014937,281
10076220,12504,-6024074,281
10088720,12500,-6037632,281
10101220,12500,-6035394,281
10113724,12504,-6033896,281
10126228,12504,-6037553,281
10138728,12500,-6034206,281
10151228,12500,-6033674,281
10163728,12500,-6035331,281
10176228,12500,-6036016,281
10188728,12500,-6037496,281
10201228,12500,-6039516,281
10213728,12500,-6034771,281
10226232,12504,-6032878,281
10238732,12500,-6033551,281
10251232,12500,-6034432,281
10263732,12500,-6032777,281
10276232,12500,-6034379,281
10288736,12504,-6031499,281
10301240,12504,-6023538,281
10313740,12500,-6016157,281
10326240,12500,-6034176,281
10338740,12500,-6044328,281
10351240,12500,-6037263,280
10363744,12504,-6035536,281
10376244,12500,-6032332,281
10388748,12504,-6030441,281
10401252,12504,-6031835,281
10413752,12500,-6038987,281
10426252,12500,-6041254,281
10438752,12500,-6043998,281
10451252,12500,-6042483,281
10463756,12504,-6037735,281
10476256,12500,-6028830,281
10488760,12504,-6022597,281
10501260,12500,-6031464,281
10513760,12500,-6035488,281
10526264,12504,-6036603,281
10538764,12500,-6037084,281
10551264,12500,-6036049,281
10563768,12504,-6034788,281
10576268,12500,-6036378,281
10588768,12500,-6037556,281
10601272,12504,-6033879,281
10613772,12500,-6031018,281
10626272,12500,-6029852,281
10638776,12504,-6042233,281
10651276,12500,-6051233,281
10663776,12500,-6047793,281
10676276,12500,-6049535,281
10688776,12500,-6052534,281
10701276,12500,-6049860,281
10713780,12504,-6047814,281
10726288,12508,-6053623,281
10738788,12500,-6054929,281
10751292,12504,-6052756,281
10763792,12500,-6051818,281
10776296,12504,-6060282,281
10788796,12500,-6060765,281
10801296,12500,-6057639,281
10813800,12504,-6058379,281
10826300,12500,-6056545,281
10838800,12500,-6053249,281
10851304,12504,-6052877,281
10863804,12500,-6054762,281
10876304,12500,-6055731,281
10888804,12500,-6053926,281
10901308,12504,-6056718,281
10913812,12504,-6061008,281
10926312,12500,-6056746,281
10938812,12500,-6054599,281
10951316,12504,-6057859,281
10963816,12500,-6059743,281
10976316,12500,-6059749,281
10988820,12504,-6058648,281
11001320,12500,-6059194,281
11013820,12500,-6060484,281
11026320,12500,-6060326,281
11038824,12504,-6060451,281
11051328,12504,-6065596,281
11063828,12500,-6065903,281
11076332,12504,-6062350,281
11088832,12500,-6060483,281
11101332,12500,-6056167,281
11113832,12500,-6060260,281
11126332,12500,-6063408,281
11138836,12504,-6058194,281
11151340,12504,-6049538,281
11163840,12500,-6058587,281
11176344,12504,-6068214,281
11188844,12500,-6062522,281
11201348,12504,-6049400,281
11213848,12500,-6035335,281
11226348,12500,-6032281,281
11238852,12504,-6031977,281
11251352,12500,-6023071,281
11263856,12504,-6022979,281
11276356,12500,-6025761,281
11288856,12500,-6027438,281
11301356,12500,-6025386,281
11313856,12500,-6042460,281
11326356,12500,-6055441,281
11338856,12500,-6059535,281
11351356,12500,-6061434,281
11363856,12500,-6055266,281
11376360,12504,-6060539,281
11388860,12500,-6058890,281
11401360,12500,-6053667,281
11413860,12500,-6054941,281
11426360,12500,-6067096,281
11438860,12500,-6077426,281
11451364,12504,-6082978,281
11463868,12504,-6068010,280
11476368,12500,-6057439,281
11488868,12500,-6057059,281
11501368,12500,-6060656,281
11513872,12504,-6057238,280
11526372,12500,-6056942,281
11538872,12500,-6058192,281
11551372,12500,-6058865,281
11563872,12500,-6060339,280
11576376,12504,-6065859,281
11588880,12504,-6083439,281
11601380,12500,-6088664,281
11613880,12500,-6078770,280
11626380,12500,-6057277,281
11638880,12500,-6062237,281
11651380,12500,-6059427,281
11663884,12504,-6053389,280
11676384,12500,-6058878,281
11688884,12500,-6059378,281
11701388,12504,-6051205,281
11713888,12500,-6041930,280
11726388,12500,-6074987,281
11738888,12500,-6098942,281
11751392,12504,-6087188,281
11763892,12500,-6080661,281
11776396,12504,-6079901,281
11788896,12500,-6085991,281
11801400,12504,-6053508,281
11813904,12504,-6026662,281
11826404,12500,-6026171,281
11838904,12500,-6020318,281
11851404,12500,-6019933,281
11863904,12500,-6020939,281
11876404,12500,-6015751,281
11888908,12504,-6007924,281
11901408,12500,-6009874,281
11913912,12504,-6009369,281
11926416,12504,-5989986,281
11938916,12500,-5985624,281
11951416,12500,-5990490,281
11963916,12500,-5994379,281
11976416,12500,-6003939,281
11988916,12500,-5997648,281
12001420,12504,-5992356,281
12013920,12500,-5993540,281
12026420,12500,-5994153,281
12038920,12500,-5994619,281
12051420,12500,-5995974,281
12063920,12500,-6000766,281
12076420,12500,-6007100,281
12088920,12500,-6008608,281
12101420,12500,-6011665,281
12113928,12508,-6009756,281
12126428,12500,-6008405,281
12138928,12500,-6009998,281
12151428,12500,-6003514,281
12163928,12500,-6000038,281
12176428,12500,-6002846,281
12188928,12500,-6001784,281
12201428,12500,-5995183,281
12213928,12500,-5996916,281
12226428,12500,-6005587,281
12238928,12500,-6008755,281
12251432,12504,-6008451,281
12263932,12500,-6042370,281
12276432,12500,-6051876,281
12288932,12500,-6054092,281
12301432,12500,-6059924,281
12313932,12500,-6067300,281
12326432,12500,-6059236,281
12338932,12500,-6049998,281
12351432,12500,-6042468,281
12363936,12504,-6040724,281
12376436,12500,-6041302,281
12388940,12504,-6057617,281
12401444,12504,-6061345,281
12413948,12504,-6065889,281
12426448,12500,-6067806,281
12438952,12504,-6064958,281
12451452,12500,-6062544,281
12463952,12500,-6050785,281
12476456,12504,-6046614,281
12488956,12500,-6043838,281
12501456,12500,-6042686,281
12513960,12504,-6044886,281
12526464,12504,-6053401,281
12538968,12504,-6051417,281
