Times (us),interval (us),strain (raw),sensorValue0 (raw)
9300244,12500,2311761,292
9312748,12504,-976396,292
9335224,22476,2308172,292
9347724,12500,2309500,292
9360224,12500,2311050,292
9372728,12504,2311098,292
9385232,12504,2309771,292
9397732,12500,2308356,292
9410232,12500,2308324,292
9422732,12500,2309657,292
9435232,12500,2310950,292
9447732,12500,2309832,292
9460236,12504,2308227,292
9472736,12500,2308039,292
9485236,12500,2309270,292
9497736,12500,2310877,292
9510240,12504,2311329,292
9522740,12500,2310293,292
9535244,12504,2308672,292
9547748,12504,2309058,292
9560252,12504,2310362,292
9572756,12504,2311002,292
9585256,12500,2310475,292
9597756,12500,2309234,292
9610256,12500,2308313,292
9622760,12504,2308697,292
9635260,12500,2310074,292
9647764,12504,2311061,292
9660264,12500,2309571,292
9672764,12500,2308673,292
9685268,12504,2308806,292
9697768,12500,2309727,292
9710268,12500,2310367,292
9722768,12500,2310512,292
9735268,12500,2309982,292
9747768,12500,2309019,292
9760268,12500,2309677,292
9772768,12500,2310528,292
9785268,12500,2310565,292
9797768,12500,2309636,292
9810268,12500,2308669,292
9822768,12500,2308575,292
9835268,12500,2309413,292
9847768,12500,2310715,292
9860272,12504,2311114,292
9872772,12500,2309223,292
9885276,12504,2308533,292
9897776,12500,2308869,292
9910276,12500,2310005,292
9922776,12500,2310641,292
9935280,12504,2310128,292
9947780,12500,2309250,292
9960280,12500,2308707,292
9972780,12500,2310088,292
9985280,12500,2310912,292
9997780,12500,2310711,292
10010280,12500,2309629,292
10022780,12500,2308610,292
10035284,12504,2308629,292
10047784,12500,2309573,292
10060284,12500,2310567,292
10072788,12504,2310796,292
10085288,12500,2309227,292
10097792,12504,2308525,292
10110292,12500,2308773,292
10122792,12500,2309568,292
10135296,12504,2310074,292
10147796,12500,2309971,292
10160296,12500,2309236,292
10172796,12500,2308737,292
10185296,12500,2310014,292
10197796,12500,2310442,292
10210300,12504,2309856,292
10222804,12504,2308905,292
10235304,12500,2308532,292
10247804,12500,2308946,292
10260308,12504,2309809,292
10272808,12500,2310552,292
10285308,12500,2310315,292
10297808,12500,2308384,292
10310308,12500,2308702,292
10322812,12504,2309847,292
10335312,12500,2310672,292
10347812,12500,2310282,292
10360316,12504,2309105,292
10372820,12504,2308215,292
10385320,12500,2308399,292
10397820,12500,2310932,292
10410320,12500,2310935,292
10422824,12504,2309665,292
10435324,12500,2308447,292
10447828,12504,2308209,292
10460328,12500,2309084,292
10472832,12504,2310321,292
10485332,12500,2310736,292
10497836,12504,2310077,292
10510344,12508,2308288,292
10522848,12504,2308652,292
10535348,12500,2309549,292
10547852,12504,2310368,292
10560356,12504,2310359,292
10572856,12500,2309447,292
10585356,12500,2308484,292
10597856,12500,2308384,292
10610356,12500,2310310,292
10622856,12500,2310549,292
10635356,12500,2309659,292
10647860,12504,2308523,292
10660360,12500,2308349,292
10672860,12500,2309187,292
10685364,12504,2310322,292
10697864,12500,2310753,292
10710364,12500,2308629,292
10722864,12500,2307896,292
10735364,12500,2308576,292
10747868,12504,2309949,292
10760368,12500,2310962,292
10772868,12500,2310515,292
10785372,12504,2309080,292
10797876,12504,2307990,292
10810376,12500,2308103,292
10822876,12500,2310567,292
10835380,12504,2310517,292
10847884,12504,2309554,292
10860384,12500,2308568,292
10872888,12504,2308679,292
10885392,12504,2309522,292
10897896,12504,2310440,292
10910396,12500,2310440,292
10922896,12500,2308519,292
10935396,12500,2308163,292
10947896,12500,2308886,292
10960396,12500,2310083,292
10972896,12500,2310656,292
10985396,12500,2310397,292
10997896,12500,2309453,292
11010396,12500,2308647,292
11022896,12500,2308491,292
11035396,12500,2309991,292
11047896,12500,2310054,292
11060400,12504,2309454,292
11072900,12500,2308817,292
11085404,12504,2309038,292
11097904,12500,2309731,292
11110404,12500,2310367,292
11122904,12500,2310353,292
11135408,12504,2308238,292
11147908,12500,2308425,292
11160408,12500,2309359,292
11172908,12500,2310232,292
11185408,12500,2310370,292
11197908,12500,2309775,292
11210408,12500,2309099,292
11222908,12500,2308773,292
11235408,12500,2309013,292
11247908,12500,2309553,292
11260408,12500,2309418,292
11272908,12500,2309185,292
11285408,12500,2309441,292
11297908,12500,2310095,292
11310412,12504,2310589,292
11322912,12500,2310114,292
11335412,12500,2308605,292
11347912,12500,2308391,292
11360416,12504,2310192,292
11372920,12504,2311546,292
11385424,12504,2311111,292
11397928,12504,2309302,292
11410428,12500,2307994,292
11422928,12500,2308161,292
11435428,12500,2309000,292
11447928,12500,2309937,292
11460428,12500,2310343,292
11472928,12500,2309661,292
11485428,12500,2308841,291
11497928,12500,2308777,292
11510428,12500,2309317,292
11522928,12500,2310002,292
11535428,12500,2310137,292
11547928,12500,2309370,291
11560428,12500,2308535,292
11572928,12500,2309278,292
11585432,12504,2310099,292
11597936,12504,2310214,292
11610436,12500,2309477,292
11622936,12500,2308702,292
11635436,12500,2308715,292
11647936,12500,2309126,291
11660436,12500,2309658,292
11672936,12500,2309825,292
11685436,12500,2309335,292
11697936,12500,2308850,292
11710436,12500,2308973,292
11722936,12500,2309504,292
11735436,12500,2310322,292
11747936,12500,2311906,292
11760436,12500,2310384,292
11772936,12500,2303544,292
11785436,12500,2312454,292
11797940,12504,2317990,292
11810444,12504,2314678,292
11822948,12504,2306835,292
11835448,12500,2301486,292
11847952,12504,2303662,292
11860456,12504,2310875,292
