"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.043228417E0,1.045145067E0,3.104778541E0,-7.550959808E-1,3.361866734E0
2.053180417E0,1.309382204E0,3.147036368E0,-4.100088081E0,5.331889152E0
2.063133417E0,9.875413679E-1,2.776659696E0,-5.599643372E0,6.327802376E0
2.073085417E0,1.766140524E0,2.520660993E0,-5.670698737E0,6.452116580E0
2.083037417E0,2.267619958E0,8.349753785E-1,-4.772606758E0,5.349491511E0
2.092989417E0,1.127056810E0,2.055787468E-1,-2.078379355E0,2.373221528E0
2.102942417E0,6.463689061E-1,1.563698078E0,-6.766519283E-1,1.822306855E0
2.112894417E0,1.241705945E0,3.974566487E0,6.785547584E-3,4.164019507E0
2.122846417E0,1.486229779E0,5.254346577E0,1.902652983E0,5.782484352E0
2.132798417E0,4.250371756E-1,5.991311511E0,1.237247443E0,6.132475150E0
2.142751417E0,1.454085588E0,6.500840222E0,1.440427224E0,6.815432421E0
2.152703417E0,3.299774412E0,8.302297198E0,2.302254040E0,9.225888770E0
2.162655417E0,2.633973600E0,7.309109028E0,2.048882052E0,8.034849680E0
2.172607417E0,5.467065359E0,-8.036029031E0,6.247508727E-1,9.739449670E0
2.182560417E0,6.475438163E0,-1.204378841E1,-3.423630134E0,1.409628965E1
2.192512417E0,3.596632873E0,-7.809611392E0,-4.088307695E0,9.520507231E0
2.202464417E0,3.338772124E0,-2.053580729E0,-7.187239605E-1,3.985116967E0
2.212417417E0,5.227559313E0,2.238659722E0,-1.197131889E0,5.811376642E0
2.222369417E0,5.579013811E0,2.902937919E0,-1.136352568E0,6.390910797E0
2.232321417E0,5.436368646E0,2.077947831E0,-1.608600455E0,6.038175773E0
2.242273417E0,4.057000241E0,2.753693587E-1,-5.390742238E0,6.752420389E0
2.252226417E0,9.539228746E-1,-1.412214847E0,-1.264798354E1,1.276228064E1
2.262178417E0,-3.219600022E0,-1.673441545E0,-1.376775340E1,1.423788133E1
2.272130417E0,-3.521802546E0,-2.443060840E0,-7.217766164E0,8.394509386E0
2.282082417E0,-1.826972325E0,-2.396705868E0,-5.795602280E-1,3.068862485E0
2.292035417E0,-1.631826326E-2,-1.299522629E0,3.965819052E0,4.173337526E0
2.301987417E0,1.341132877E0,7.422975951E-1,6.634319876E0,6.809100039E0
2.311939417E0,2.050170925E0,2.471865978E0,1.120478196E1,1.165591957E1
2.321891417E0,1.769277409E0,4.400850728E0,9.194648380E0,1.034598417E1
2.331844417E0,-2.378351312E-1,4.752896379E0,1.058348957E0,4.875109440E0
2.341796417E0,-3.973767757E-1,5.077737860E0,5.220095927E-1,5.119943759E0
2.351748417E0,2.641631699E-1,3.358828951E0,-1.666846470E0,3.758974762E0
2.361700417E0,-8.473605122E-1,-1.855847776E-2,-1.499738309E0,1.722666320E0
2.371653417E0,-2.025524765E0,-2.485229790E0,-1.118775253E0,3.395699596E0
2.381605417E0,-1.837996373E0,-5.969741718E0,-7.720143145E-1,6.293810685E0
2.391557417E0,-2.502687821E0,-9.173572091E0,1.119003294E0,9.574447223E0
2.401509417E0,-2.800888511E0,-1.143103997E1,3.412287705E0,1.225387117E1
2.411462417E0,-1.323374152E0,-7.529381828E0,7.642216718E0,1.080955069E1
2.421414417E0,2.219580111E0,-4.011432012E0,9.278960552E0,1.034974548E1
2.431366417E0,3.484873871E0,-2.903381723E0,8.324518372E0,9.480062101E0
2.441318417E0,3.013367849E0,-3.495452068E0,6.450413250E0,7.931355625E0
2.451271417E0,1.148613740E0,-4.303384075E0,3.944192541E0,5.949376675E0
2.461223417E0,1.529239851E0,-6.110474843E0,2.012116953E0,6.612495139E0
2.471175417E0,2.231667768E0,-7.823783289E0,-1.393449670E0,8.254309660E0
2.481128417E0,1.253104215E0,-6.111557747E0,-4.896033295E0,7.930482349E0
2.491080417E0,-1.401058286E-1,-1.770127010E0,-9.287057192E0,9.455284795E0
2.501032417E0,-2.124740905E0,1.787390680E1,-1.480124409E1,2.330381717E1
2.510984417E0,2.861539924E0,1.792748367E1,-8.539413487E0,2.006251889E1
2.520937417E0,3.926589206E0,1.246616437E0,2.359615518E0,4.747624745E0
2.530889417E0,-6.211457719E-1,2.694165423E0,2.464511350E0,3.703804205E0
2.540841417E0,-1.858168828E0,2.941896163E0,1.271834309E0,3.704741143E0
2.550793417E0,-2.753659673E0,-1.281581032E-1,-7.618468836E-2,2.757692912E0
2.560746417E0,-4.216979184E0,-3.858427336E0,-1.443977214E0,5.895374894E0
2.570698417E0,-6.358925959E0,-5.399836412E0,-9.047700834E-1,8.391232421E0
2.580650417E0,-6.149934193E0,-5.130249365E0,1.036147664E0,8.075565064E0
2.590602417E0,-4.574634947E0,-3.537291235E0,3.459709209E0,6.738642444E0
2.600555417E0,-2.316975574E0,-2.169293033E0,5.267638468E0,6.149977488E0
2.610507417E0,8.011331561E-1,4.979389447E-1,5.589232405E0,5.668269260E0
2.620459417E0,2.851647313E0,3.311525561E0,4.207196208E0,6.066184457E0
2.630409667E0,3.268193600E0,4.966352495E0,-1.081572928E0,6.042809488E0
2.640362667E0,3.596763266E0,5.558112938E0,-5.676027305E0,8.720470824E0
2.650314667E0,2.642434229E0,4.468779001E0,-8.532498570E0,9.987791361E0
2.660266667E0,1.277550547E0,5.271709884E0,-9.595132951E0,1.102223375E1
2.670218667E0,1.294379126E0,6.894803978E0,-4.003362270E0,8.077168358E0
2.680171667E0,4.176488970E0,-1.635210695E0,-2.187017991E-1,4.490523868E0
2.690123667E0,3.277323443E0,-1.599826269E0,-2.965580894E0,4.700527958E0
2.700075667E0,6.289950742E-1,8.825584992E0,2.658666100E-1,8.851964206E0
2.710027667E0,6.234260398E-1,9.226775322E0,4.482846817E0,1.027705982E1
2.719980667E0,1.280575019E0,-6.967559713E0,7.368061826E-2,7.084644632E0
2.729932667E0,1.441611869E0,-1.372273452E1,-4.465646063E0,1.450288531E1
2.739884667E0,5.130743162E-1,-3.669192726E0,-1.894516729E0,4.161179418E0
2.749836667E0,2.575900809E0,3.159724241E0,2.721041565E0,4.901345678E0
2.759789667E0,3.357189392E0,3.618545313E0,1.783971024E0,5.248537264E0
2.769741667E0,2.731287641E0,7.309852209E0,2.032841240E0,8.063889570E0
2.779693667E0,2.328994234E0,6.283304504E0,9.608764565E-1,6.769594759E0
2.789645667E0,-1.508078193E0,7.278132234E0,-1.009212611E0,7.500934524E0
2.799598667E0,-5.299667761E0,-1.150719177E0,-3.988699792E0,6.732039738E0
2.809550667E0,-4.979959550E0,-9.682044210E0,1.938977641E-1,1.088942485E1
2.819502667E0,-5.882165922E-1,-2.398800107E1,4.850152532E0,2.448048557E1
2.829454667E0,1.338673246E0,-2.878414930E1,5.943891177E0,2.942191597E1
2.839407667E0,5.700805758E-1,-1.518745502E1,6.396433509E0,1.648933424E1
2.849359667E0,6.542075372E-1,-1.488226896E0,3.358609096E0,3.731361930E0
2.859311667E0,2.184683490E0,-1.966956568E-1,-3.434431111E0,4.075150081E0
2.869263667E0,3.893579334E0,1.647747710E0,-7.886870652E0,8.948617839E0
2.879216667E0,3.082776345E0,6.670287269E-1,9.177228355E-1,3.284912863E0
2.889168667E0,2.424252832E0,5.986575267E0,-3.660777998E0,7.424108079E0
2.899120667E0,4.349176252E0,5.854025320E0,-9.486037356E-1,7.354236572E0
2.909073667E0,6.064287102E0,6.324691681E0,-2.990528625E0,9.258540078E0
