"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.863868042E0,8.044271851E-1,9.048084412E0,-1.606908417E0,9.224808360E0
1.873821042E0,3.124003601E-1,8.775052185E0,-1.505718842E0,8.908777922E0
1.883774042E0,-9.535171509E-2,8.724158020E0,-1.135239258E0,8.798226712E0
1.893726042E0,1.363664246E-1,9.077872467E0,-9.271719360E-1,9.126117035E0
1.903679042E0,8.219407654E-1,9.723180542E0,-8.672964478E-1,9.796327353E0
1.913632042E0,1.279090118E0,1.045770309E1,-1.012793884E0,1.058420413E1
1.923584042E0,1.386117554E0,1.095481934E1,-8.476872253E-1,1.107465404E1
1.933537042E0,1.325792999E0,1.093820389E1,-1.135688324E0,1.107663394E1
1.943490042E0,1.473236389E0,1.035082535E1,-1.045575714E0,1.050729458E1
1.953442042E0,1.854343872E0,9.394164734E0,-1.053958282E0,9.633262703E0
1.963395042E0,1.928439789E0,9.028175812E0,-1.173709259E0,9.306150221E0
1.973347042E0,1.497036896E0,9.117240601E0,-1.566941528E0,9.371259328E0
1.983300042E0,1.005010071E0,9.388626251E0,-1.706451416E0,9.595224050E0
1.993253042E0,8.652008057E-1,9.581425323E0,-1.564097443E0,9.746726860E0
2.003205042E0,9.964778137E-1,9.714498596E0,-1.205143890E0,9.839553994E0
2.013158042E0,1.551523590E0,9.149573364E0,-5.533992004E-1,9.296675152E0
2.023111250E0,2.168839874E0,8.825646973E0,-7.747888184E-1,9.121195569E0
2.033063250E0,1.797462158E0,9.354347534E0,-1.606159973E0,9.659939848E0
2.043016250E0,9.406439209E-1,9.499844971E0,-1.501527557E0,9.663666512E0
2.052968250E0,6.526428223E-2,9.883347473E0,-1.269510040E0,9.964761535E0
2.062921250E0,-1.556762695E-1,1.004216721E1,-1.396146698E0,1.013994985E1
2.072874250E0,6.529421997E-1,1.022164398E1,-1.141526184E0,1.030589255E1
2.082826250E0,1.379082184E0,1.078462326E1,-3.888912964E-1,1.087939350E1
2.092779250E0,1.195114746E0,1.064840652E1,-7.607180786E-1,1.074223221E1
2.102732250E0,1.042881317E0,1.029873367E1,-1.449435883E0,1.045238638E1
2.112684250E0,1.152902527E0,1.008273285E1,-1.839824066E0,1.031385663E1
2.122637250E0,1.462907867E0,9.491312714E0,-2.754122772E0,9.990510933E0
2.132589250E0,1.648671570E0,9.164691925E0,-2.224524078E0,9.573829088E0
2.142542250E0,1.329535217E0,9.263636169E0,-1.141825562E0,9.427957604E0
2.152495250E0,1.119372253E0,9.610015869E0,-4.254153442E-1,9.684336707E0
2.162447250E0,1.435365143E0,9.678872681E0,1.260379028E-1,9.785537033E0
2.172400250E0,1.873803406E0,9.914931793E0,-1.472487946E0,1.019731496E1
2.182353250E0,1.851499786E0,1.123593475E1,-1.380579071E0,1.147084477E1
2.192305250E0,1.729353790E0,1.107187592E1,-2.372566223E-1,1.120863023E1
2.202258250E0,1.663640442E0,1.012928604E1,-8.129594421E-1,1.029713738E1
2.212211250E0,1.560804291E0,9.660610657E0,-8.879534912E-1,9.826086184E0
2.222163250E0,1.038690033E0,9.481882324E0,-1.519639893E0,9.658896148E0
2.232116250E0,2.222877502E-1,9.594747620E0,-1.978735199E0,9.799182962E0
2.242068250E0,-4.899311829E-1,9.628577271E0,-2.118843842E0,9.871121114E0
2.252021250E0,-9.074130249E-1,9.696535950E0,-2.127974854E0,9.968675178E0
2.261974250E0,-7.795788574E-1,9.537716217E0,-1.735790405E0,9.725674381E0
2.271926250E0,-5.194198608E-1,9.583071899E0,-1.552122345E0,9.721838704E0
2.281879250E0,-2.727328491E-1,9.665999451E0,-1.651815033E0,9.809914449E0
2.291832250E0,1.661544800E-2,9.821825409E0,-1.833986206E0,9.991598263E0
2.301784250E0,5.993536377E-1,9.662556610E0,-1.467697906E0,9.791749699E0
2.311737250E0,1.086889801E0,9.522747345E0,-1.214424591E0,9.661204559E0
2.321689250E0,1.389710083E0,9.607620850E0,-1.822460175E0,9.877197659E0
2.331642250E0,1.726210327E0,9.385632477E0,-1.932780762E0,9.736813676E0
2.341595250E0,1.918710022E0,9.472601624E0,-1.402733002E0,9.766232106E0
2.351547250E0,1.909579010E0,9.725425873E0,-9.406439209E-1,9.955662278E0
