"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.881384125E0,2.128723297E0,1.423704391E1,-3.331172791E0,1.477570961E1
1.891337125E0,3.432961121E0,1.416938461E1,-4.518204346E0,1.526338275E1
1.901291125E0,4.028422852E0,1.419812485E1,-3.761078796E0,1.523025455E1
1.911244125E0,3.645668793E0,1.371957001E1,-1.851799164E0,1.431595831E1
1.921198125E0,3.042722626E0,1.318338501E1,1.619631958E-1,1.353092877E1
1.931151125E0,1.855242004E0,1.193752579E1,1.288370819E0,1.214933513E1
1.941104125E0,1.270408173E0,1.103205872E1,1.194366302E0,1.116900924E1
1.951058125E0,5.962101746E-1,1.102652023E1,1.020727386E0,1.108970240E1
1.961011125E0,1.275048523E0,1.141705811E1,9.139993286E-1,1.152433769E1
1.970965125E0,2.954406281E0,1.125060425E1,1.877845001E0,1.178265311E1
1.980918125E0,2.676883392E0,1.153531219E1,6.809339905E-1,1.186139972E1
1.990872125E0,6.759942627E-1,1.117141891E1,-4.310286713E0,1.199317057E1
2.000825125E0,-1.763183441E0,9.809550934E0,-5.065166931E0,1.117998307E1
2.010779125E0,-3.052003326E0,8.735384674E0,-8.152047729E-1,9.289038084E0
2.020732125E0,-1.822460175E0,9.289831696E0,2.015558624E0,9.679091413E0
2.030686125E0,3.841012573E-1,8.905880127E0,1.498384094E0,9.039213987E0
2.040639125E0,1.597178650E0,9.238638153E0,1.002914429E0,9.429170266E0
2.050592125E0,2.231110382E0,9.724976807E0,-3.103047180E-1,9.982450423E0
2.060546125E0,3.252735901E-1,9.370214539E0,-7.572752380E-1,9.406390870E0
2.070499125E0,-1.290616150E0,9.272767181E0,2.500250702E0,9.690260823E0
2.080453125E0,-1.200054474E0,9.154363403E0,4.665498047E0,1.034453344E1
2.090406125E0,-6.873706055E-1,8.790021057E0,3.748654633E0,9.580676390E0
2.100360125E0,-1.227447510E-2,8.970845032E0,2.426304474E0,9.293178393E0
2.110313125E0,9.015751648E-1,9.547296295E0,1.579964447E0,9.719053039E0
2.120267125E0,1.541045380E0,1.022733215E1,5.632786560E-1,1.035810922E1
2.130220125E0,1.759141846E0,1.076905563E1,-1.916015625E-1,1.091347105E1
2.140173125E0,2.182910614E0,1.096769257E1,-4.357438660E-1,1.119130250E1
2.150127125E0,2.821482697E0,1.081605789E1,-4.876858521E-1,1.118864203E1
2.160080125E0,3.380121002E0,1.073163345E1,-3.635939026E-1,1.125723657E1
2.170034125E0,3.315006409E0,1.052551208E1,-5.944139099E-1,1.105119903E1
2.179987125E0,2.746189270E0,1.035247192E1,-8.897497559E-1,1.074741295E1
2.189941125E0,2.499202881E0,1.049752029E1,-8.966354370E-1,1.082810706E1
2.199894125E0,2.313439178E0,1.045081741E1,-1.454974365E-1,1.070480056E1
2.209848125E0,1.897454224E0,9.362281036E0,3.876937866E-1,9.560488754E0
2.219801125E0,2.054178314E0,9.366023254E0,1.205293579E0,9.664097100E0
2.229755125E0,2.104174347E0,9.528734894E0,1.661694489E0,9.898765930E0
2.239708125E0,2.484982452E0,9.345066833E0,2.243983612E0,9.926775628E0
2.249661125E0,2.459086304E0,1.004935226E1,9.026229858E-1,1.038514875E1
2.259615125E0,1.687141571E0,1.094074860E1,6.093827820E-1,1.108682885E1
2.269568125E0,1.064885559E0,1.043016037E1,1.828298035E0,1.064259838E1
2.279522125E0,8.616082764E-1,9.323062592E0,2.096839600E0,9.594717360E0
2.289475125E0,8.110134888E-1,9.333989868E0,1.208137665E0,9.446729929E0
2.299429125E0,7.725434875E-1,9.490564270E0,3.435356140E-1,9.528150415E0
2.309382125E0,2.987786865E-1,1.037477554E1,-1.190923462E0,1.044717833E1
2.319336125E0,6.695576477E-1,1.083342178E1,-1.438957672E0,1.094906088E1
2.329289125E0,1.215322723E0,9.133257294E0,-8.211923218E-1,9.250284047E0
2.339244667E0,9.330097961E-1,1.053449341E1,-2.456391907E-1,1.057858201E1
2.349197667E0,1.746567993E0,1.110121490E1,1.063089294E0,1.128794184E1
2.359150667E0,1.866019592E0,1.027478348E1,2.364033966E0,1.070709397E1
2.369104667E0,2.295925598E0,9.616602173E0,2.759661255E0,1.026479624E1
2.379057667E0,2.725681915E0,7.983797607E0,2.763104095E0,8.877224250E0
2.389011667E0,2.066752167E0,7.005132751E0,3.002306671E0,7.896657187E0
2.398964667E0,1.648372192E0,7.081324310E0,2.187700653E0,7.592649012E0
2.408918667E0,1.728455658E0,8.707692261E0,1.936972046E0,9.086436275E0
2.418871667E0,9.409432983E-1,1.103310654E1,3.381019135E0,1.157782814E1
2.428825667E0,-4.962181091E-1,1.132619705E1,3.581003265E0,1.188917812E1
2.438778667E0,-1.522483978E0,1.089359665E1,2.002685394E0,1.118030206E1
2.448731667E0,-1.149459686E0,1.021116577E1,1.661544800E0,1.040912557E1
2.458685667E0,3.378474426E-1,8.330177307E0,1.461261292E0,8.464117167E0
2.468638667E0,1.133892059E0,8.777596893E0,2.012265472E0,9.076405167E0
2.478592667E0,1.314865723E0,9.515412598E0,2.503992920E0,9.926828764E0
2.488545667E0,9.190887451E-1,1.009380981E1,4.029620361E-1,1.014357428E1
2.498499667E0,-4.011657715E-1,1.094553864E1,-3.189866638E-1,1.095753177E1
2.508452667E0,-7.059320068E-1,1.069690567E1,-1.309476929E0,1.079985466E1
2.518406667E0,3.796105957E-1,9.826016693E0,-1.394649811E0,9.931754948E0
2.528359667E0,8.122109985E-1,9.883497162E0,-1.577120361E0,1.004143971E1
2.538313667E0,-6.348298645E-1,1.041025177E1,-1.531914368E0,1.054149479E1
2.548266667E0,-1.346749420E0,9.638157349E0,-2.501597900E0,1.004817412E1
2.558219667E0,-2.077679443E-1,9.610315247E0,-1.996548157E0,9.817715172E0
2.568173667E0,-4.745132446E-2,1.044482986E1,-3.216810608E-1,1.044989001E1
2.578126667E0,-6.785389709E-1,1.097682358E1,1.010398865E0,1.104409240E1
2.588080667E0,-8.693920898E-1,1.006806335E1,2.081421661E0,1.031765760E1
2.598033667E0,-8.599617004E-1,9.060209198E0,7.961943054E-1,9.135691009E0
2.607987667E0,-1.596430206E0,9.892179108E0,1.019679565E0,1.007191855E1
2.617940667E0,-1.247356110E0,1.048135391E1,1.593885498E0,1.067497766E1
2.627894667E0,1.221459961E-1,1.026894562E1,4.432283020E-1,1.027923222E1
2.637847667E0,2.114802246E0,1.043674667E1,-9.439370728E-1,1.069060741E1
2.647801667E0,4.684059448E0,9.862540741E0,-3.361260223E0,1.142401825E1
2.657754667E0,3.229085083E0,9.904603271E0,-3.123853912E0,1.087596523E1
2.667707667E0,-2.061213684E-1,8.855884094E0,-8.331674194E-1,8.897378100E0
2.677661667E0,-1.491797791E0,9.213490448E0,-1.489402771E0,9.451570637E0
2.687614667E0,-1.932331696E0,1.049856812E1,-9.229806519E-1,1.071474365E1
2.697568667E0,-1.298250275E0,1.090811646E1,-5.403762817E-2,1.098523456E1
2.707521667E0,-8.846603394E-2,1.044872177E1,5.987548828E-1,1.046623716E1
2.717475667E0,1.186283112E0,9.891879730E0,1.084494781E0,1.002161071E1
2.727428667E0,2.011517029E0,9.459129639E0,1.588197327E0,9.800189030E0
2.737382667E0,2.354753265E0,9.123677216E0,1.861528931E0,9.604771670E0
2.747335667E0,1.595532074E0,9.298813019E0,1.895657959E0,9.623261674E0
2.757289667E0,6.406677246E-2,9.476194153E0,1.772164764E0,9.640691268E0
2.767242667E0,-1.071920929E0,9.049880676E0,1.252146149E0,9.198762129E0
2.777195667E0,-1.147513733E0,8.709937592E0,4.040098572E-1,8.794488307E0
2.787149667E0,-1.107995911E0,9.206305389E0,-8.451425171E-1,9.311174992E0
2.797102667E0,-1.380579071E0,9.768087158E0,-1.348845062E0,9.956952762E0
2.807056667E0,-2.082469482E0,9.141041107E0,-8.869056702E-1,9.417107482E0
2.817009667E0,-5.298980713E-1,8.321645050E0,2.649490356E-2,8.338541256E0
2.826963667E0,-1.272503815E0,1.025547363E1,2.915936279E-1,1.033823158E1
2.836916667E0,-8.771759033E-2,1.052087173E1,6.206094360E-1,1.053952525E1
2.846870667E0,3.257226562E-1,9.989925842E0,8.223898315E-1,1.002900985E1
2.856823667E0,1.233435059E-1,1.036459671E1,3.881428528E-1,1.037259531E1
2.866777667E0,8.918453979E-1,9.815388794E0,7.670050049E-1,9.885622998E0
2.876730667E0,1.651066589E0,9.239386597E0,1.109043732E0,9.451045633E0
2.886683667E0,2.533331909E0,9.091344452E0,1.471140747E0,9.551678889E0
2.896637667E0,3.204536133E0,8.562344513E0,1.349294128E0,9.241395459E0
2.906590667E0,2.744842072E0,9.158255310E0,1.305734711E0,9.649494363E0
